SECTION_ID,COURSE_CODE,STUDENT_ID,DATE_TIME,A_STATUS
1,CS101,287930,9/1/2022 2:26,P
2,CS201,287930,1/10/2021 17:43,L
3,SE101,287930,7/12/2023 21:55,A
4,SE301,287930,10/16/2019 7:34,A
5,AI101,287930,1/26/2021 6:31,L
6,AI201,287930,10/23/2021 4:50,L
7,DS302,287930,4/28/2022 20:26,L
8,DS401,287930,12/2/2022 4:22,A
9,MATH101,287930,7/3/2023 19:48,A
1,CS101,287931,10/1/2023 20:25,L
2,CS201,287931,12/21/2022 10:55,P
3,SE101,287931,10/16/2020 6:41,P
4,SE301,287931,10/19/2023 13:36,L
5,AI101,287931,3/5/2019 16:58,A
6,AI201,287931,12/8/2022 4:53,A
7,DS302,287931,1/12/2021 7:29,P
8,DS401,287931,4/16/2022 21:10,A
9,MATH101,287931,6/5/2021 1:53,L
1,CS101,287932,8/30/2023 7:57,P
2,CS201,287932,3/28/2020 14:13,L
3,SE101,287932,8/7/2020 23:06,A
4,SE301,287932,5/14/2023 4:33,A
5,AI101,287932,7/1/2022 16:03,P
6,AI201,287932,7/19/2021 22:56,P
7,DS302,287932,8/4/2021 14:54,P
8,DS401,287932,7/8/2020 21:38,L
9,MATH101,287932,10/22/2021 7:54,A
1,CS101,287933,12/9/2018 14:28,P
2,CS201,287933,5/7/2021 23:04,L
3,SE101,287933,6/19/2022 17:51,P
4,SE301,287933,10/28/2018 14:02,L
5,AI101,287933,12/18/2020 16:20,L
6,AI201,287933,8/17/2022 6:41,L
7,DS302,287933,10/11/2022 3:06,L
8,DS401,287933,9/21/2022 15:03,P
9,MATH101,287933,2/15/2018 7:01,L
1,CS101,287934,9/3/2021 19:01,A
2,CS201,287934,8/2/2018 10:06,P
3,SE101,287934,5/9/2021 2:25,L
4,SE301,287934,9/13/2020 5:27,L
5,AI101,287934,3/4/2020 21:19,L
6,AI201,287934,11/1/2023 4:59,L
7,DS302,287934,4/14/2021 13:29,P
8,DS401,287934,6/28/2022 23:24,P
9,MATH101,287934,9/27/2018 14:16,P
1,CS101,287935,5/6/2018 0:38,L
2,CS201,287935,9/30/2021 10:48,P
3,SE101,287935,8/2/2020 13:32,P
4,SE301,287935,11/21/2022 23:48,P
5,AI101,287935,1/3/2021 17:08,P
6,AI201,287935,1/17/2019 0:20,P
7,DS302,287935,8/19/2022 21:13,A
8,DS401,287935,8/23/2020 14:52,P
9,MATH101,287935,10/6/2020 15:32,L
1,CS101,287936,2/16/2018 5:55,L
2,CS201,287936,8/13/2019 10:53,L
3,SE101,287936,11/25/2020 21:54,A
4,SE301,287936,6/18/2019 12:08,L
5,AI101,287936,7/15/2018 9:59,P
6,AI201,287936,6/13/2021 23:58,A
7,DS302,287936,5/28/2020 2:26,L
8,DS401,287936,12/21/2018 1:14,A
9,MATH101,287936,9/3/2022 21:54,P
1,CS101,287937,9/5/2022 13:57,P
2,CS201,287937,5/3/2019 8:50,L
3,SE101,287937,5/13/2019 4:09,P
4,SE301,287937,9/6/2018 5:26,P
5,AI101,287937,4/10/2018 19:30,L
6,AI201,287937,9/29/2020 7:37,P
7,DS302,287937,6/11/2022 11:24,L
8,DS401,287937,1/26/2021 22:49,L
9,MATH101,287937,7/7/2022 18:16,A
1,CS101,287938,10/7/2018 7:46,P
2,CS201,287938,12/2/2023 15:23,P
3,SE101,287938,8/25/2022 18:04,A
4,SE301,287938,1/12/2022 21:09,A
5,AI101,287938,3/26/2018 1:42,P
6,AI201,287938,2/28/2020 19:15,L
7,DS302,287938,8/23/2023 15:16,A
8,DS401,287938,9/7/2022 15:23,A
9,MATH101,287938,12/7/2021 5:18,L
1,CS101,287939,9/12/2020 12:07,P
2,CS201,287939,7/13/2023 16:27,P
3,SE101,287939,11/25/2021 18:09,L
4,SE301,287939,5/12/2020 3:38,P
5,AI101,287939,9/1/2021 21:23,A
6,AI201,287939,4/28/2022 9:54,A
7,DS302,287939,4/20/2021 12:00,A
8,DS401,287939,1/19/2023 9:59,A
9,MATH101,287939,7/5/2018 6:50,P
1,CS101,287940,5/12/2020 1:41,P
2,CS201,287940,6/25/2023 5:03,L
3,SE101,287940,4/8/2019 22:38,A
4,SE301,287940,12/8/2023 17:12,L
5,AI101,287940,7/18/2018 11:52,A
6,AI201,287940,8/11/2018 17:45,A
7,DS302,287940,2/26/2023 10:04,P
8,DS401,287940,1/1/2023 9:17,A
9,MATH101,287940,9/26/2022 0:50,L
1,CS101,287941,4/7/2019 22:29,A
2,CS201,287941,8/8/2020 5:15,P
3,SE101,287941,1/9/2021 17:15,A
4,SE301,287941,4/5/2021 16:22,A
5,AI101,287941,1/24/2019 10:51,P
6,AI201,287941,10/18/2022 20:45,P
7,DS302,287941,9/21/2018 0:47,P
8,DS401,287941,8/23/2020 0:04,P
9,MATH101,287941,2/22/2023 1:37,L
1,CS101,287942,2/26/2019 16:37,P
2,CS201,287942,5/3/2021 3:18,P
3,SE101,287942,4/17/2018 17:42,P
4,SE301,287942,7/22/2023 17:17,L
5,AI101,287942,10/30/2021 0:56,A
6,AI201,287942,4/3/2023 6:57,A
7,DS302,287942,4/21/2019 8:44,A
8,DS401,287942,7/13/2023 9:29,A
9,MATH101,287942,11/26/2022 8:15,P
1,CS101,287943,1/19/2021 15:11,P
2,CS201,287943,8/23/2023 4:44,A
3,SE101,287943,3/15/2023 23:13,P
4,SE301,287943,8/9/2018 9:57,P
5,AI101,287943,1/20/2021 5:18,L
6,AI201,287943,11/2/2018 7:13,L
7,DS302,287943,12/25/2020 13:04,P
8,DS401,287943,2/10/2023 15:35,A
9,MATH101,287943,7/18/2019 3:18,P
