SECTION_ID,COURSE_CODE,WEIGHTAGE,EVALUATION_TYPE,EVALUATION_STATUS
1,CS101,15,SESSIONAL 1,COMPLETE
2,CS201,15,SESSIONAL 1,COMPLETE
3,SE101,15,SESSIONAL 1,COMPLETE
4,SE301,15,SESSIONAL 1,COMPLETE
5,AI101,15,SESSIONAL 1,COMPLETE
6,AI201,15,SESSIONAL 1,COMPLETE
7,DS302,15,SESSIONAL 1,COMPLETE
8,DS401,15,SESSIONAL 1,COMPLETE
9,MATH101,15,SESSIONAL 1,COMPLETE
10,MATH201,15,SESSIONAL 1,COMPLETE
11,CS101,15,SESSIONAL 1,COMPLETE
12,CS201,15,SESSIONAL 1,COMPLETE
13,SE101,15,SESSIONAL 1,COMPLETE
14,SE301,15,SESSIONAL 1,COMPLETE
15,AI101,15,SESSIONAL 1,COMPLETE
16,AI201,15,SESSIONAL 1,COMPLETE
17,DS302,15,SESSIONAL 1,COMPLETE
18,DS401,15,SESSIONAL 1,COMPLETE
19,MATH101,15,SESSIONAL 1,COMPLETE
